title,topic,difficulty,description,starter_code,solution,hint
First GET Request,Requests Basics,Easy,Import the requests library and send a GET request to https://httpbin.org/get. Print only the status code.,import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/get""); print(response.status_code)",requests.get() returns a Response object.
Print Response Body,Requests Basics,Easy,Send a GET request to https://httpbin.org/get and print the response body as text.,import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/get""); print(response.text)",Use the .text attribute.
Parse JSON Response,JSON,Easy,Request https://httpbin.org/json and convert the response into a Python dictionary. Print the dictionary.,import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/json""); data=response.json(); print(data)",Use response.json().
Extract JSON Field,JSON,Easy,Retrieve https://jsonplaceholder.typicode.com/todos/1 and print only the value of the title key.,import requests; # Your code here,"import requests; response=requests.get(""https://jsonplaceholder.typicode.com/todos/1""); print(response.json()[""title""])",JSON objects become Python dictionaries.
Check Status Code,Response Object,Easy,"Send a GET request to https://httpbin.org/get. Print True if the status code is 200, otherwise False.",import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/get""); print(response.status_code==200)",Compare response.status_code.
Print Response Headers,Response Object,Easy,Print all headers returned by https://httpbin.org/get.,import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/get""); print(response.headers)",Headers behave like a dictionary.
Send Custom Header,Headers,Easy,Send a GET request to https://httpbin.org/headers with User-Agent set to CodeDojo. Print the JSON response.,import requests; # Your code here,"import requests; headers={""User-Agent"":""CodeDojo""}; response=requests.get(""https://httpbin.org/headers"",headers=headers); print(response.json())",Pass custom headers using the headers argument.
Send Query Parameter,Query Parameters,Easy,Send a GET request to https://httpbin.org/get with query parameter language=python. Print the JSON response.,import requests; # Your code here,"import requests; params={""language"":""python""}; response=requests.get(""https://httpbin.org/get"",params=params); print(response.json())",Use the params argument.
Multiple Query Parameters,Query Parameters,Easy,Send a GET request with query parameters page=2 and limit=50 to https://httpbin.org/get. Print the JSON response.,import requests; # Your code here,"import requests; params={""page"":2,""limit"":50}; response=requests.get(""https://httpbin.org/get"",params=params); print(response.json())",params accepts a dictionary.
Handle Connection Error,Exception Handling,Easy,Attempt to send a GET request to https://invalid.example. Catch any RequestException and print Connection Failed.,import requests; # Your code here,"import requests; import requests.exceptions; try: requests.get(""https://invalid.example""); except requests.exceptions.RequestException: print(""Connection Failed"")",Wrap network requests inside try/except.
Request with Timeout,Timeouts,Easy,Send a GET request to https://httpbin.org/delay/2 with a timeout of 5 seconds. Print the status code.,import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/delay/2"", timeout=5); print(response.status_code)",Use the timeout parameter.
Handle Timeout Exception,Exception Handling,Easy,Send a GET request to https://httpbin.org/delay/5 with a timeout of 1 second. Catch a timeout exception and print Request Timed Out.,import requests; # Your code here,"import requests; from requests.exceptions import Timeout; try: requests.get(""https://httpbin.org/delay/5"", timeout=1); except Timeout: print(""Request Timed Out"")",Catch requests.exceptions.Timeout.
Raise for Status,Response Object,Easy,Request https://httpbin.org/status/404. Use raise_for_status() and print HTTP Error if an exception occurs.,import requests; # Your code here,"import requests; from requests.exceptions import HTTPError; try: response=requests.get(""https://httpbin.org/status/404""); response.raise_for_status(); except HTTPError: print(""HTTP Error"")",raise_for_status() raises an exception for 4xx and 5xx responses.
Follow Redirect,Redirects,Easy,Send a GET request to https://httpbin.org/redirect/1 and print the final URL after the redirect.,import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/redirect/1""); print(response.url)",Requests follows redirects automatically.
Disable Redirects,Redirects,Medium,Send a GET request to https://httpbin.org/redirect/1 without following redirects. Print the returned status code.,import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/redirect/1"", allow_redirects=False); print(response.status_code)",Use allow_redirects=False.
POST JSON Data,POST Requests,Easy,"Send a POST request to https://httpbin.org/post with JSON {""name"":""John"",""age"":25} and print the returned JSON.",import requests; # Your code here,"import requests; payload={""name"":""John"",""age"":25}; response=requests.post(""https://httpbin.org/post"", json=payload); print(response.json())",Use the json= parameter.
POST Form Data,POST Requests,Easy,Send a POST request to https://httpbin.org/post with form fields username=admin and password=secret. Print the returned JSON.,import requests; # Your code here,"import requests; data={""username"":""admin"",""password"":""secret""}; response=requests.post(""https://httpbin.org/post"", data=data); print(response.json())",Use data= for form submissions.
Basic Authentication,Authentication,Medium,Send a GET request to https://httpbin.org/basic-auth/user/pass using username user and password pass. Print the returned JSON.,import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/basic-auth/user/pass"", auth=(""user"",""pass"")); print(response.json())",Pass credentials using the auth argument.
Bearer Token Header,Authentication,Medium,Send a GET request to https://httpbin.org/bearer with the bearer token abc123. Print the returned JSON.,import requests; # Your code here,"import requests; headers={""Authorization"":""Bearer abc123""}; response=requests.get(""https://httpbin.org/bearer"", headers=headers); print(response.json())",Authorization headers usually begin with Bearer.
Create a GET Helper Function,Functions,Medium,Write a function fetch(url) that sends a GET request to any URL and returns the JSON response. Demonstrate it using https://httpbin.org/get.,import requests; def fetch(url): pass,"import requests; def fetch(url): return requests.get(url).json(); print(fetch(""https://httpbin.org/get""))",Return response.json() from the function.
Update Resource with PUT,PUT Requests,Medium,"Send a PUT request to https://httpbin.org/put with JSON {""name"":""Alice"",""city"":""Delhi""}. Print the returned JSON.",import requests; # Your code here,"import requests; payload={""name"":""Alice"",""city"":""Delhi""}; response=requests.put(""https://httpbin.org/put"",json=payload); print(response.json())",PUT replaces an existing resource.
Update Resource with PATCH,PATCH Requests,Medium,"Send a PATCH request to https://httpbin.org/patch updating only the field city=""Mumbai"". Print the response JSON.",import requests; # Your code here,"import requests; payload={""city"":""Mumbai""}; response=requests.patch(""https://httpbin.org/patch"",json=payload); print(response.json())",PATCH updates selected fields only.
Delete a Resource,DELETE Requests,Medium,Send a DELETE request to https://httpbin.org/delete and print the returned JSON.,import requests; # Your code here,"import requests; response=requests.delete(""https://httpbin.org/delete""); print(response.json())",Use requests.delete().
Inspect Cookies,Cookies,Medium,Request https://httpbin.org/cookies/set?username=gautam and print the cookies stored in the response object.,import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/cookies/set?username=gautam""); print(response.cookies.get_dict())",Response cookies can be converted to a dictionary.
Use a Session,Sessions,Medium,Create a Session object and use it to request https://httpbin.org/get. Print the status code.,import requests; # Your code here,"import requests; session=requests.Session(); response=session.get(""https://httpbin.org/get""); print(response.status_code)",requests.Session() reuses connections.
Session with Default Headers,Sessions,Medium,Create a Session with the header User-Agent=CodeDojo. Request https://httpbin.org/headers and print the returned JSON.,import requests; # Your code here,"import requests; session=requests.Session(); session.headers.update({""User-Agent"":""CodeDojo""}); response=session.get(""https://httpbin.org/headers""); print(response.json())",Update session headers once instead of passing them every request.
Download a Text File,File Downloads,Medium,Download the robots.txt file from https://httpbin.org/robots.txt and print its contents.,import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/robots.txt""); print(response.text)",Most text files can be accessed using .text.
Save Downloaded File,File Downloads,Medium,Download https://httpbin.org/robots.txt and save it as robots.txt.,import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/robots.txt""); open(""robots.txt"",""w"",encoding=""utf-8"").write(response.text)",Use Python's open() function.
Upload a File,File Uploads,Medium,Upload a file named sample.txt to https://httpbin.org/post using multipart form-data. Print the returned JSON.,import requests; # Your code here,"import requests; files={""file"":open(""sample.txt"",""rb"")}; response=requests.post(""https://httpbin.org/post"",files=files); print(response.json())",Pass uploaded files using the files parameter.
Stream a Large Download,Streaming,Medium,Download https://httpbin.org/stream-bytes/10240 using streaming and save it as output.bin.,import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/stream-bytes/10240"",stream=True); f=open(""output.bin"",""wb""); [f.write(chunk) for chunk in response.iter_content(1024) if chunk]; f.close()",Use stream=True together with iter_content().
Disable SSL Verification,SSL,Medium,Send a GET request to https://self-signed.badssl.com/ without verifying the SSL certificate. Print the status code.,import requests; # Your code here,"import requests; response=requests.get(""https://self-signed.badssl.com/"",verify=False); print(response.status_code)",The verify parameter controls SSL verification.
Check Response Encoding,Response Object,Medium,Request https://httpbin.org/encoding/utf8 and print the response encoding.,import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/encoding/utf8""); print(response.encoding)",Every Response object has an encoding attribute.
Change Response Encoding,Response Object,Medium,"Request https://httpbin.org/encoding/utf8, change the encoding to UTF-8 manually, and print the text.",import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/encoding/utf8""); response.encoding=""utf-8""; print(response.text)",You can manually modify response.encoding.
Read API Key from Environment Variable,Authentication,Medium,"Read the environment variable API_KEY, include it as an x-api-key header, and request https://httpbin.org/headers. Print the JSON response.","import requests, os; # Your code here","import requests, os; headers={""x-api-key"":os.getenv(""API_KEY"")}; response=requests.get(""https://httpbin.org/headers"",headers=headers); print(response.json())",Never hardcode API keys.
Send Request Through Proxy,Networking,Hard,Configure a proxy dictionary and pass it to a GET request to https://httpbin.org/get.,import requests; # Your code here,"import requests; proxies={""http"":""http://localhost:8080"",""https"":""http://localhost:8080""}; response=requests.get(""https://httpbin.org/get"",proxies=proxies); print(response.status_code)",Use the proxies parameter.
Retry Failed Requests,Retry Logic,Hard,Create a Session with an HTTPAdapter that retries failed requests three times before failing. Request https://httpbin.org/status/500.,import requests; # Your code here,"import requests; from requests.adapters import HTTPAdapter; from urllib3.util.retry import Retry; retry=Retry(total=3); adapter=HTTPAdapter(max_retries=retry); session=requests.Session(); session.mount(""https://"",adapter); response=session.get(""https://httpbin.org/status/500""); print(response.status_code)",Use Retry together with HTTPAdapter.
Configure Connection Pool,Sessions,Hard,Create a Session using an HTTPAdapter with a connection pool size of 20. Print the Session object.,import requests; # Your code here,"import requests; from requests.adapters import HTTPAdapter; adapter=HTTPAdapter(pool_connections=20,pool_maxsize=20); session=requests.Session(); session.mount(""https://"",adapter); print(session)",HTTPAdapter manages connection pooling.
Log Request Details,Debugging,Medium,"Print the request URL, request headers, response status code, and response headers after requesting https://httpbin.org/get.",import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/get""); print(response.request.url); print(response.request.headers); print(response.status_code); print(response.headers)",The original Request object is available through response.request.
Create an API Client Class,OOP,Hard,Create a class APIClient that stores a Session object. Implement a method get(url) that returns the JSON response. Demonstrate it using https://httpbin.org/get.,import requests; class APIClient: pass,"import requests; class APIClient:\n def __init__(self): self.session=requests.Session()\n def get(self,url): return self.session.get(url).json(); client=APIClient(); print(client.get(""https://httpbin.org/get""))",Encapsulating requests inside a class improves reusability.
Generic Request Wrapper,Best Practices,Hard,"Write a function request_json(method, url, **kwargs) that sends any HTTP request and returns the parsed JSON response. Demonstrate it using a GET request to https://httpbin.org/get.",import requests; # Your code here,"import requests; def request_json(method,url,**kwargs): return requests.request(method,url,**kwargs).json(); print(request_json(""GET"",""https://httpbin.org/get""))",requests.request() supports every HTTP method.
Get All Posts,JSONPlaceholder API,Easy,Request https://jsonplaceholder.typicode.com/posts and print the total number of posts returned.,import requests; # Your code here,"import requests; response=requests.get(""https://jsonplaceholder.typicode.com/posts""); print(len(response.json()))",The API returns a list of dictionaries.
Get User by ID,JSONPlaceholder API,Easy,Retrieve user with ID 5 from JSONPlaceholder and print the user's name.,import requests; # Your code here,"import requests; response=requests.get(""https://jsonplaceholder.typicode.com/users/5""); print(response.json()[""name""])",Access a single resource using /users/5.
Filter Posts by User,JSONPlaceholder API,Easy,Retrieve all posts created by user ID 3 and print the number of posts.,import requests; # Your code here,"import requests; response=requests.get(""https://jsonplaceholder.typicode.com/posts"",params={""userId"":3}); print(len(response.json()))",Use query parameters with params=.
Create a New Post,JSONPlaceholder API,Medium,"Create a new post with title Learning Requests, body CodeDojo Practice, and userId 1. Print the returned JSON.",import requests; # Your code here,"import requests; payload={""title"":""Learning Requests"",""body"":""CodeDojo Practice"",""userId"":1}; response=requests.post(""https://jsonplaceholder.typicode.com/posts"",json=payload); print(response.json())",Use json= to send the payload.
Update a Post,JSONPlaceholder API,Medium,Update post ID 1 by changing its title to Updated Title using a PUT request. Print the response JSON.,import requests; # Your code here,"import requests; payload={""id"":1,""title"":""Updated Title"",""body"":""Updated"",""userId"":1}; response=requests.put(""https://jsonplaceholder.typicode.com/posts/1"",json=payload); print(response.json())",PUT replaces the resource.
Delete a Post,JSONPlaceholder API,Medium,Delete post ID 1 and print the returned status code.,import requests; # Your code here,"import requests; response=requests.delete(""https://jsonplaceholder.typicode.com/posts/1""); print(response.status_code)",Successful DELETE requests usually return 200 or 204.
Get Country Information,REST Countries API,Medium,Request information about India from https://restcountries.com/v3.1/name/india and print the capital city.,import requests; # Your code here,"import requests; response=requests.get(""https://restcountries.com/v3.1/name/india""); print(response.json()[0][""capital""][0])",The API returns a list of matching countries.
