title,topic,difficulty,description,starter_code,solution,hint
Requests Problem 1,Requests,Easy,Solve requests exercise #1. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 2,Requests,Easy,Solve requests exercise #2. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 3,Requests,Easy,Solve requests exercise #3. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 4,Requests,Easy,Solve requests exercise #4. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 5,Requests,Easy,Solve requests exercise #5. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 6,Requests,Easy,Solve requests exercise #6. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 7,Requests,Easy,Solve requests exercise #7. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 8,Requests,Easy,Solve requests exercise #8. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 9,Requests,Easy,Solve requests exercise #9. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 10,Requests,Easy,Solve requests exercise #10. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 11,Requests,Medium,Solve requests exercise #11. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 12,Requests,Medium,Solve requests exercise #12. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 13,Requests,Medium,Solve requests exercise #13. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 14,Requests,Medium,Solve requests exercise #14. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 15,Requests,Medium,Solve requests exercise #15. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
Requests Problem 16,Requests,Medium,Solve requests exercise #16. Use the requests module to accomplish the task described.,"import requests

# Write your code here",# Official solution placeholder,Think about the appropriate requests function or response attribute.
