title,topic,difficulty,description,starter_code,solution,hint
Hello Streamlit,Getting Started,Easy,"Display the text ""Hello, Streamlit!"" on the page using Streamlit.",import streamlit as st,"import streamlit as st\n\nst.write(""Hello, Streamlit!"")",Use st.write().
Create a Page Title,Getting Started,Easy,"Display the page title ""My First Streamlit App"".",import streamlit as st,"import streamlit as st\n\nst.title(""My First Streamlit App"")",Use st.title().
Add a Header,Text Elements,Easy,Display a header named User Information.,import streamlit as st,"import streamlit as st\n\nst.header(""User Information"")",Use st.header().
Add a Subheader,Text Elements,Easy,Display a subheader named Contact Details.,import streamlit as st,"import streamlit as st\n\nst.subheader(""Contact Details"")",Use st.subheader().
Display Markdown,Text Elements,Easy,Display the text Python in bold using Markdown.,import streamlit as st,"import streamlit as st\n\nst.markdown(""**Python**"")",Use st.markdown().
Display Code,Text Elements,Easy,"Display the code print(""Hello"") inside a code block.",import streamlit as st,"import streamlit as st\n\nst.code('print(""Hello"")')",Use st.code().
Show Success Message,Alerts,Easy,Display a success message saying Data saved successfully!.,import streamlit as st,"import streamlit as st\n\nst.success(""Data saved successfully!"")",Use st.success().
Show Warning Message,Alerts,Easy,Display a warning message saying Please upload a file.,import streamlit as st,"import streamlit as st\n\nst.warning(""Please upload a file."")",Use st.warning().
Show Error Message,Alerts,Easy,Display an error message saying Invalid input!.,import streamlit as st,"import streamlit as st\n\nst.error(""Invalid input!"")",Use st.error().
Display a Caption,Text Elements,Easy,Display the caption Version 1.0.0 below the page content.,import streamlit as st,"import streamlit as st\n\nst.caption(""Version 1.0.0"")",Use st.caption().
Text Input,User Inputs,Easy,Create a text input labeled Enter your name.,import streamlit as st,"import streamlit as st\n\nst.text_input(""Enter your name"")",Use st.text_input().
Display User Name,User Inputs,Easy,"Create a text input labeled Enter your name and display Hello, <name>! after the user types their name.",import streamlit as st,"import streamlit as st\n\nname = st.text_input(""Enter your name"")\n\nif name:\n st.write(f""Hello, {name}!"")",Store the input in a variable.
Number Input,User Inputs,Easy,Create a number input labeled Enter your age.,import streamlit as st,"import streamlit as st\n\nst.number_input(""Enter your age"")",Use st.number_input().
Slider,User Inputs,Easy,Create a slider labeled Select your rating with values from 1 to 10.,import streamlit as st,"import streamlit as st\n\nst.slider(""Select your rating"", 1, 10)",Use st.slider().
Checkbox,User Inputs,Easy,Create a checkbox labeled I agree to the terms.,import streamlit as st,"import streamlit as st\n\nst.checkbox(""I agree to the terms"")",Use st.checkbox().
Radio Buttons,User Inputs,Easy,"Create radio buttons labeled Select your gender with options Male, Female, and Other.",import streamlit as st,"import streamlit as st\n\nst.radio(""Select your gender"", [""Male"", ""Female"", ""Other""])",Use st.radio().
Select Box,User Inputs,Easy,"Create a dropdown labeled Choose your favorite language with the options Python, SQL and Java.",import streamlit as st,"import streamlit as st\n\nst.selectbox(""Choose your favorite language"", [""Python"", ""SQL"", ""Java""])",Use st.selectbox().
Multiselect,User Inputs,Medium,"Create a multiselect labeled Select your skills with the options Python, SQL, Excel and Power BI.",import streamlit as st,"import streamlit as st\n\nst.multiselect(""Select your skills"", [""Python"", ""SQL"", ""Excel"", ""Power BI""])",Use st.multiselect().
Date Input,User Inputs,Medium,Create a date picker labeled Select your birthday.,import streamlit as st,"import streamlit as st\n\nst.date_input(""Select your birthday"")",Use st.date_input().
Time Input,User Inputs,Medium,Create a time picker labeled Select a meeting time.,import streamlit as st,"import streamlit as st\n\nst.time_input(""Select a meeting time"")",Use st.time_input().
Create a Button,Buttons,Easy,Create a button labeled Click Me.,import streamlit as st,"import streamlit as st\n\nst.button(""Click Me"")",Use st.button().
